product_name,description,overall_rating,brand,main_category,sentiment
Ladela Bellies,"key features of ladela bellies brand: ladela color : black,ladela bellies price: rs. 950 experience the best bellies from the house of ladela. providing the best material to keep your feet cozy and active for the whole day.,specifications of ladela bellies general occasion casual ideal for women shoe details heel height 0 inch outer material pu color black",5.0,Ladela,Footwear,positive
Bulaky vanity case Jewellery Vanity Case,buy bulaky vanity case jewellery vanity case for rs.390 online. bulaky vanity case jewellery vanity case at best prices with free shipping & cash on delivery. only genuine products. 30 day replacement guarantee.,3.0,Unknown,Beauty and Personal Care,neutral
Roadster Men's Zipper Solid Cardigan,"key features of roadster men's zipper solid cardigan fabric: 100% acrylic suitable for: western wear,roadster men's zipper solid cardigan price: rs. 699 navy blue and olive green cardigan, has a mock collar, a full zip closure, long raglan sleeves, two insert pockets, a ribbed hemlook stylish while beating the winter chill in this comfortable cardigan from roadster. team it with a pair of jeans and casual shoes when heading out for the day..,specifications of roadster men's zipper solid cardigan cardigan details closure zipper sleeve full sleeve number of contents in sales package pack of 1 fabric 100% acrylic general details pattern solid ideal for men's occasion casual fabric care machine-wash cold additional details style code 872907",3.6,Roadster,Clothing,neutral
"Camerii WM64 Elegance Analog Watch  - For Men, Boys","camerii wm64 elegance analog watch  - for men, boys - buy camerii wm64 elegance analog watch  - for men, boys  wm64 online at rs.449 in india only at flipkart.com. - great discounts, only genuine products, 30 day replacement guarantee, free shipping. cash on delivery!",5.0,Unknown,Watches,positive
"Colat COLAT_MW20 Sheen Analog Watch  - For Men, Women, Boys, Girls","colat colat_mw20 sheen analog watch  - for men, women, boys, girls - buy colat colat_mw20 sheen analog watch  - for men, women, boys, girls  colat_mw20 online at rs.849 in india only at flipkart.com. - great discounts, only genuine products, 30 day replacement guarantee, free shipping. cash on delivery!",5.0,Unknown,Watches,positive
"Rorlig RR-028 Expedition Analog Watch  - For Men, Boys","rorlig rr-028 expedition analog watch  - for men, boys
                         price: rs. 399
				
			you will be bombarded with complimenting glances as you walk out wearing this brown/black coloured analog watch. featuring a stylish dial and attractive leather strap, this watch will be a classy touch to your look. this stylish accessory is a fine pick to flaunt with casuals as well as with formals too.
you will be bombarded with complimenting glances as you walk out wearing this brown/black coloured analog watch. featuring a stylish dial and attractive leather strap, this watch will be a classy touch to your look. this stylish accessory is a fine pick to flaunt with casuals as well as with formals too.",5.0,Unknown,Watches,positive
Lyc White Casual Boots,lyc white casual boots - buy lyc white casual boots - 2202 only for rs. 899 from flipkart.com. only genuine products. 30 day replacement guarantee. free shipping. cash on delivery!,5.0,Unknown,Footwear,positive
Fluid DMF-002-GR01 Digital Watch  - For Boys,"fluid dmf-002-gr01 digital watch  - for boys - buy fluid dmf-002-gr01 digital watch  - for boys  dmf-002-gr01 online at rs.849 in india only at flipkart.com. plastic case, water resistant, buckle clasp, chronograph function, rectangle dial, black strap - great discounts, only genuine products, 30 day replacement guarantee, free shipping. cash on delivery!",3.5,Unknown,Watches,neutral
Bruno Manetti Cannelita Boots,bruno manetti cannelita boots - buy bruno manetti cannelita boots - bm-jd-41 only for rs. 1359 from flipkart.com. only genuine products. 30 day replacement guarantee. free shipping. cash on delivery!,4.4,Unknown,Footwear,positive
"Kool Kidz DMK-012-QU02 Analog Watch  - For Girls, Boys","kool kidz dmk-012-qu02 analog watch  - for girls, boys - buy kool kidz dmk-012-qu02 analog watch  - for girls, boys  dmk-012-qu02 online at rs.263 in india only at flipkart.com. round dial, dark green strap, water resistant, metal case - great discounts, only genuine products, 30 day replacement guarantee, free shipping. cash on delivery!",5.0,Unknown,Watches,positive
"Kool Kidz DMK-003-YL 03 Analog Watch  - For Girls, Boys","kool kidz dmk-003-yl 03 analog watch  - for girls, boys - buy kool kidz dmk-003-yl 03 analog watch  - for girls, boys  dmk-003-yl 03 online at rs.333 in india only at flipkart.com. multi-color strap, round dial - great discounts, only genuine products, 30 day replacement guarantee, free shipping. cash on delivery!",4.0,Unknown,Watches,positive
Kielz Ladies Boots,kielz ladies boots - buy kielz ladies boots - 1008-b59 only for rs. 1149 from flipkart.com. only genuine products. 30 day replacement guarantee. free shipping. cash on delivery!,3.5,Unknown,Footwear,neutral
"Colat COLAT_M08 Roman Numerals Analog Watch  - For Men, Boys","colat colat_m08 roman numerals analog watch  - for men, boys - buy colat colat_m08 roman numerals analog watch  - for men, boys  colat_m08 online at rs.1049 in india only at flipkart.com. - great discounts, only genuine products, 30 day replacement guarantee, free shipping. cash on delivery!",5.0,Unknown,Watches,positive
Kielz Ladies Boots,kielz ladies boots - buy kielz ladies boots - 1007-26 only for rs. 899 from flipkart.com. only genuine products. 30 day replacement guarantee. free shipping. cash on delivery!,3.5,Unknown,Footwear,neutral
"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls","srushti art jewelry megnet_led_sport_blackred1 digital watch  - for men, women, boys, girls - buy srushti art jewelry megnet_led_sport_blackred1 digital watch  - for men, women, boys, girls  megnet_led_sport_blackred1 online at rs.200 in india only at flipkart.com. led watch, sports led, megnet watch, fresh arrival, latest, fancy, srushti, girlswatch, men, women, boys, wrist watches - great discounts, only genuine products, 30 day replacement guarantee, free shipping. cash on delivery!",5.0,Unknown,Watches,positive
"Q&Q VQ13-008 Analog Watch  - For Girls, Boys","q&q vq13-008 analog watch  - for girls, boys - buy q&q vq13-008 analog watch  - for girls, boys  vq13-008 online at rs.526 in india only at flipkart.com. water resistant, round dial, buckle clasp, blue strap - great discounts, only genuine products, 30 day replacement guarantee, free shipping. cash on delivery!",3.6,Unknown,Watches,neutral
Jack klein BlackLed Digital Watch  - For Boys,"jack klein blackled digital watch  - for boys - buy jack klein blackled digital watch  - for boys  blackled online at rs.150 in india only at flipkart.com. - great discounts, only genuine products, 30 day replacement guarantee, free shipping. cash on delivery!",1.0,Unknown,Watches,negative
"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women","north moon iw-005-fk silicone ion digital watch  - for boys, girls, women - buy north moon iw-005-fk silicone ion digital watch  - for boys, girls, women  iw-005-fk online at rs.150 in india only at flipkart.com. - great discounts, only genuine products, 30 day replacement guarantee, free shipping. cash on delivery!",2.3,Unknown,Watches,neutral
Roadster Skinny Fit Fit Men's Jeans,roadster skinny fit fit men's jeans - buy md indigo roadster skinny fit fit men's jeans for only rs. 2499 online in india. shop online for apparels. huge collection of branded clothes only at flipkart.com,3.0,Skinny Fit,Clothing,neutral
"Q&Q LLA2-213 Digital Watch  - For Boys, Girls","q&q lla2-213 digital watch  - for boys, girls - buy q&q lla2-213 digital watch  - for boys, girls  lla2-213 online at rs.645 in india only at flipkart.com. - great discounts, only genuine products, 30 day replacement guarantee, free shipping. cash on delivery!",5.0,Unknown,Watches,positive
Belle Gambe Winter Boots,belle gambe winter boots - buy belle gambe winter boots - 298-7 only for rs. 1695 from flipkart.com. only genuine products. 30 day replacement guarantee. free shipping. cash on delivery!,4.8,Unknown,Footwear,positive
"Hala Red In Black trendy digital Digital Watch  - For Boys, Girls, Men","hala red in black trendy digital digital watch  - for boys, girls, men - buy hala red in black trendy digital digital watch  - for boys, girls, men  red in black trendy digital online at rs.159 in india only at flipkart.com. - great discounts, only genuine products, 30 day replacement guarantee, free shipping. cash on delivery!",5.0,Unknown,Watches,positive
Carlton London Boots,carlton london boots - buy carlton london boots - cll-2881 only for rs. 2295 from flipkart.com. only genuine products. 30 day replacement guarantee. free shipping. cash on delivery!,5.0,Unknown,Footwear,positive
Ridas Apl_led_black Apple Shape Digital Watch  - For Boys,"ridas apl_led_black apple shape digital watch  - for boys - buy ridas apl_led_black apple shape digital watch  - for boys  apl_led_black online at rs.249 in india only at flipkart.com. - great discounts, only genuine products, 30 day replacement guarantee, free shipping. cash on delivery!",2.7,Unknown,Watches,neutral
La Briza Andria Boots,la briza andria boots - buy la briza andria boots - 3822 only for rs. 2099 from flipkart.com. only genuine products. 30 day replacement guarantee. free shipping. cash on delivery!,3.6,Unknown,Footwear,neutral
"Skmei 1070BLK Sports Analog-Digital Watch  - For Men, Boys","skmei 1070blk sports analog-digital watch  - for men, boys - buy skmei 1070blk sports analog-digital watch  - for men, boys  1070blk online at rs.1179 in india only at flipkart.com. clear dial, back light, alarm, dual time, stop watch - great discounts, only genuine products, 30 day replacement guarantee, free shipping. cash on delivery!",4.4,Unknown,Watches,positive
"Felix 3541 W-S METAL Analog Watch  - For Boys, Girls","felix 3541 w-s metal analog watch  - for boys, girls - buy felix 3541 w-s metal analog watch  - for boys, girls  3541 w-s metal online at rs.555 in india only at flipkart.com. - great discounts, only genuine products, 30 day replacement guarantee, free shipping. cash on delivery!",5.0,Unknown,Watches,positive
Steppings Trendy Boots,"steppings trendy boots
                         price: rs. 719
				
			live it up with this pair of coloured?boots by steppings. experience endless comfort wearing this pair of bellies?,?which is crafted using comfortable resin sole. play with sheer fabric outfits while clubbing this pair of boots for the look of the day.
live it up with this pair of coloured?boots by steppings. experience endless comfort wearing this pair of bellies?,?which is crafted using comfortable resin sole. play with sheer fabric outfits while clubbing this pair of boots for the look of the day.",4.0,Unknown,Footwear,positive
"Jack Klein Goldjack Analog Watch  - For Boys, Men","jack klein goldjack analog watch  - for boys, men - buy jack klein goldjack analog watch  - for boys, men  goldjack online at rs.262 in india only at flipkart.com. - great discounts, only genuine products, 30 day replacement guarantee, free shipping. cash on delivery!",5.0,Unknown,Watches,positive
Dearfoams Boots,"dearfoams boots
                         price: rs. 1,820
				
			light and shaggy, these boot slippers exude personality. their structure is soft, so you can fold down the tops to reveal contrasting lining. the perfect choice for putting up your feet and watching a movie.
light and shaggy, these boot slippers exude personality. their structure is soft, so you can fold down the tops to reveal contrasting lining. the perfect choice for putting up your feet and watching a movie.",5.0,Unknown,Footwear,positive
"Alfajr WQ18 Qibla Compass Digital Watch  - For Men, Boys, Girls","alfajr wq18 qibla compass digital watch  - for men, boys, girls - buy alfajr wq18 qibla compass digital watch  - for men, boys, girls  wq18 online at rs.7495 in india only at flipkart.com. qibla compass, light, azan time calculation - great discounts, only genuine products, 30 day replacement guarantee, free shipping. cash on delivery!",5.0,Unknown,Watches,positive
"3wish CUR-BLUE Silver Blue 8023 Analog Watch  - For Boys, Men","3wish cur-blue silver blue 8023 analog watch  - for boys, men - buy 3wish cur-blue silver blue 8023 analog watch  - for boys, men  cur-blue online at rs.995 in india only at flipkart.com. japanese brand, stainless steel, luxury looks - great discounts, only genuine products, 30 day replacement guarantee, free shipping. cash on delivery!",5.0,Unknown,Watches,positive
Belle Gambe Boots,belle gambe boots - buy belle gambe boots - 7c-135-1 only for rs. 1795 from flipkart.com. only genuine products. 30 day replacement guarantee. free shipping. cash on delivery!,3.0,Unknown,Footwear,neutral
"Elantra S 10 Analog Watch  - For Boys, Men","elantra s 10 analog watch  - for boys, men - buy elantra s 10 analog watch  - for boys, men  s 10 online at rs.950 in india only at flipkart.com. - great discounts, only genuine products, 30 day replacement guarantee, free shipping. cash on delivery!",4.5,Unknown,Watches,positive
"Marvel DW100243 Digital Watch  - For Boys, Girls","marvel dw100243 digital watch  - for boys, girls - buy marvel dw100243 digital watch  - for boys, girls  dw100243 online at rs.299 in india only at flipkart.com. buckle clasp, multi-color strap, contemporary dial - great discounts, only genuine products, 30 day replacement guarantee, free shipping. cash on delivery!",4.0,Unknown,Watches,positive
Steppings Trendy Boots,steppings trendy boots - buy steppings trendy boots - ml-a4 only for rs. 1099 from flipkart.com. only genuine products. 30 day replacement guarantee. free shipping. cash on delivery!,4.0,Unknown,Footwear,positive
"Zoop C4040PP03 Digital Watch  - For Boys, Girls","zoop c4040pp03 digital watch  - for boys, girls - buy zoop c4040pp03 digital watch  - for boys, girls  c4040pp03 online at rs.750 in india only at flipkart.com. blue strap, plastic case, round dial, water resistant - great discounts, only genuine products, 30 day replacement guarantee, free shipping. cash on delivery!",4.5,Unknown,Watches,positive
Carl 3346-1-Cheetablue Boots,carl 3346-1-cheetablue boots - buy carl 3346-1-cheetablue boots - carl-3346-1-cheetah only for rs. 1149 from flipkart.com. only genuine products. 30 day replacement guarantee. free shipping. cash on delivery!,5.0,Unknown,Footwear,positive
"Zoop C3030PP05 Analog Watch  - For Boys, Girls","zoop c3030pp05 analog watch  - for boys, girls - buy zoop c3030pp05 analog watch  - for boys, girls  c3030pp05 online at rs.650 in india only at flipkart.com. black strap, plastic case, water resistant, contemporary dial, buckle clasp - great discounts, only genuine products, 30 day replacement guarantee, free shipping. cash on delivery!",4.8,Unknown,Watches,positive
Pure Source Psi-As-Hanggnrlx Relaxing Liquid Air Freshener,buy pure source psi-as-hanggnrlx relaxing liquid air freshener for rs.375 online. pure source psi-as-hanggnrlx relaxing liquid air freshener at best prices with free shipping & cash on delivery. only genuine products. 30 day replacement guarantee.,5.0,Pure Source,Home Decor & Festive Needs,positive
Peppermint Blues Casual Sleeveless Printed Women's Top,peppermint blues casual sleeveless printed women's top - buy black peppermint blues casual sleeveless printed women's top for only rs. 399 online in india. shop online for apparels. huge collection of branded clothes only at flipkart.com,2.4,Unknown,Clothing,neutral
Xpert Schoolboys Blk Lace Up Shoes,xpert schoolboys blk lace up shoes - buy xpert schoolboys blk lace up shoes - schoolboysshoes only for rs. 299 from flipkart.com. only genuine products. 30 day replacement guarantee. free shipping. cash on delivery!,3.2,Unknown,Footwear,neutral
